bin start	omega	hist_DD	hist_DR	hist_RR
35.500000	-0.019772	50831247	46814421	41967798
35.750000	-0.024192	50740582	46834301	41914022
36.000000	-0.027189	50592406	46805871	41880658
36.250000	-0.029090	50468933	46752096	41818747
36.500000	-0.031522	50151870	46618171	41767876
36.750000	-0.032516	49893702	46476713	41703693
37.000000	-0.043767	49448377	46467767	41663660
37.250000	-0.054248	49044891	46455783	41609464
37.500000	-0.060264	48866474	46459813	41549214
37.750000	-0.058095	48911471	46412916	41503246
38.000000	-0.056022	48955747	46350943	41425401
38.250000	-0.049197	48913805	46124744	41303667
38.500000	-0.053470	48664715	46054317	41238872
38.750000	-0.056029	48303129	45897758	41184836
39.000000	-0.054279	48143164	45730539	41087695
39.250000	-0.057879	47983207	45688957	41020498
39.500000	-0.059133	47893320	45622654	40931583
39.750000	-0.058000	47659895	45424959	40822332
40.000000	-0.060439	47434750	45304860	40714246
40.250000	-0.061052	47173242	45139117	40624758
40.500000	-0.059955	47032520	45022786	40580092
40.750000	-0.062042	46690438	44853293	40503255
41.000000	-0.059730	46422451	44645300	40451936
41.250000	-0.063232	46162341	44544944	40374574
41.500000	-0.060283	46001914	44338754	40249234
41.750000	-0.050163	46165638	44161044	40142781
42.000000	-0.035575	46314721	43905998	40071733
42.250000	-0.028448	46350404	43729755	39971966
42.500000	-0.028179	46107549	43546082	39861368
42.750000	-0.022880	45913968	43285429	39747478
43.000000	-0.016674	45705291	43004081	39641898
43.250000	-0.016887	45512654	42867465	39554324
43.500000	-0.011270	45443702	42658931	39429792
43.750000	-0.003714	45538488	42509339	39334086
44.000000	-0.004158	45328506	42349258	39207005
44.250000	-0.005719	45004909	42159518	39090563
44.500000	-0.009459	44584708	41960263	38967229
44.750000	-0.011531	44392670	41844714	38848796
45.000000	-0.010228	44287177	41692175	38701351
45.250000	-0.009598	44152373	41513674	38505384
45.500000	-0.009193	43890426	41320236	38397070
45.750000	-0.003479	43912879	41139495	38233084
46.000000	0.003278	43850275	40931970	38138677
46.250000	0.007291	43856931	40800436	38021168
46.500000	0.002774	43674709	40718242	37866820
46.750000	-0.001198	43334731	40553305	37726701
47.000000	-0.008109	42878328	40374643	37566347
47.250000	-0.007777	42615668	40159274	37411919
47.500000	-0.008331	42370998	39970439	37259478
47.750000	-0.002445	42213369	39733743	37163252
48.000000	-0.005976	41931761	39583071	37013199
48.250000	-0.010234	41495922	39366326	36859518
48.500000	-0.015036	41108565	39174314	36688428
48.750000	-0.013969	40842933	38931476	36510028
49.000000	-0.007769	40601044	38637325	36390891
49.250000	-0.010142	40167737	38392310	36249259
49.500000	-0.011316	39698697	38093673	36080381
49.750000	-0.013402	39197887	37820000	35960170
50.000000	-0.016548	38784220	37589691	35802686
50.250000	-0.022488	38404696	37413964	35622176
50.500000	-0.028385	38014119	37235740	35451082
50.750000	-0.035431	37467544	37000974	35284247
51.000000	-0.035169	37105499	36741254	35141141
51.250000	-0.033104	36832965	36474418	34958585
51.500000	-0.034101	36682190	36335033	34801121
51.750000	-0.036081	36253615	36069383	34635455
52.000000	-0.035998	35865022	35793621	34480971
52.250000	-0.043359	35428781	35623294	34329324
52.500000	-0.049700	34979149	35397947	34120941
52.750000	-0.058340	34523736	35224439	33944810
53.000000	-0.065625	34061858	35025253	33772333
53.250000	-0.069680	33674382	34806061	33596724
53.500000	-0.079545	33073205	34575716	33419849
